Topic: /uuv0/pipeline_distance_from_mapping | Type: uuv_gazebo_ros_plugins_msgs/FloatStamped
Topic: /uuv0/hsd_pipeline_mapping | Type: vandy_bluerov/HSDCommand
Topic: /vu_fls/waterfall_gt | Type: sensor_msgs/Image
Topic: /uuv0/pipeline_in_sls | Type: uuv_gazebo_ros_plugins_msgs/FloatStamped
Topic: /vu_sss/am_vae_lec2lite_r | Type: std_msgs/Float32MultiArray
Topic: /vu_sss/am_vae_lec2lite_l | Type: std_msgs/Float32MultiArray
Topic: /uuv0/new_waypoint | Type: geometry_msgs/Point
Topic: /hydrodynamics/current_velocity | Type: geometry_msgs/TwistStamped
Topic: /lec3lite/bins | Type: std_msgs/Float32MultiArray
Topic: /uuv0/pipeline_in_view | Type: std_msgs/Header
Topic: /kinect/depth/image_raw | Type: sensor_msgs/Image
Topic: /uuv0/kinect_ir/parameter_descriptions | Type: dynamic_reconfigure/ConfigDescription
Topic: /uuv0/bb_rth | Type: std_msgs/Bool
Topic: /uuv0/degradation_gt | Type: std_msgs/Float32MultiArray
Topic: /uuv0/thruster_cmd_logging | Type: std_msgs/Float32MultiArray
Topic: /uuv0/obstacle_on_waypoint | Type: std_msgs/Bool
Topic: /uuv0/fls_obstacle_avoidance_score | Type: std_msgs/Float64
Topic: /kinect/depth/points | Type: sensor_msgs/PointCloud2
Topic: /uuv0/kinect_ir/parameter_updates | Type: dynamic_reconfigure/Config
Topic: /uuv0/obstacle_avoidance_direction | Type: std_msgs/Float64
Topic: /uuv0/hsd_to_waypoint | Type: vandy_bluerov/HSDCommand
Topic: /uuv0/obstacle_near_wp | Type: std_msgs/Int32
Topic: /uuv0/target_waypoint_id | Type: std_msgs/Int32
Topic: /gazebo/model_states | Type: gazebo_msgs/ModelStates
Topic: /uuv0/obstacle_map_local | Type: nav_msgs/OccupancyGrid
Topic: /vu_sss/lec2_accuracy/left | Type: std_msgs/Float32MultiArray
Topic: /uuv0/pipeline_in_view_gt | Type: std_msgs/Header
Topic: /uuv0/camera/parameter_descriptions | Type: dynamic_reconfigure/ConfigDescription
Topic: /uuv0/kinect_ir/depth/camera_info | Type: sensor_msgs/CameraInfo
Topic: /vu_fls/gt | Type: std_msgs/Float32MultiArray
Topic: /uuv0/obstacle_map_update | Type: std_msgs/Bool
Topic: /uuv0/camera/image_raw | Type: sensor_msgs/Image
Topic: /vu_fis/scan_gt | Type: sensor_msgs/Image
Topic: /uuv0/distance_to_waypoint | Type: std_msgs/Float64
Topic: /gazebo/parameter_descriptions | Type: dynamic_reconfigure/ConfigDescription
Topic: /uuv0/sensor_failure_rpm | Type: std_msgs/Bool
Topic: /vu_sss/waterfall_gt | Type: sensor_msgs/Image
Topic: /uuv0/camera/camera_info | Type: sensor_msgs/CameraInfo
Topic: /vu_sss/lec2lite_l | Type: sensor_msgs/Image
Topic: /uuv0/obstacle_in_view | Type: std_msgs/Header
Topic: /uuv0/hsd_to_surface | Type: vandy_bluerov/HSDCommand
Topic: /uuv0/obstacle_map_occupied | Type: std_msgs/Float32MultiArray
Topic: /ground_truth_to_tf_uuv0/euler | Type: geometry_msgs/Vector3Stamped
Topic: /tf | Type: tf2_msgs/TFMessage
Topic: /uuv0/hsd_to_rth | Type: vandy_bluerov/HSDCommand
Topic: /vu_fls/bins | Type: std_msgs/Float32MultiArray
Topic: /lec3lite/waterfall | Type: sensor_msgs/Image
Topic: /uuv0/camera/parameter_updates | Type: dynamic_reconfigure/Config
Topic: /tf_static | Type: tf2_msgs/TFMessage
Topic: /vu_fis/scan | Type: sensor_msgs/Image
Topic: /kinect/color/image_raw | Type: sensor_msgs/Image
Topic: /vu_sss/lec2lite_r | Type: sensor_msgs/Image
Topic: /vu_sss/waterfall_gt_r | Type: sensor_msgs/Image
Topic: /vu_sss/lec2_accuracy/right | Type: std_msgs/Float32MultiArray
Topic: /uuv0/waypoints_completed | Type: std_msgs/Bool
Topic: /uuv0/pixhawk_hw | Type: vandy_bluerov/PixhawkHW
Topic: /vu_sss/waterfall | Type: sensor_msgs/Image
Topic: /fdr0/ping | Type: geometry_msgs/Point
Topic: /uuv0/hsd_obstacle_avoidance | Type: vandy_bluerov/HSDCommand
Topic: /lec3lite/am_vae | Type: std_msgs/Float32MultiArray
Topic: /vu_fls/waterfall | Type: sensor_msgs/Image
Topic: /lec3lite/ranges | Type: std_msgs/Float32MultiArray
Topic: /gazebo/parameter_updates | Type: dynamic_reconfigure/Config
Topic: /rosout_agg | Type: rosgraph_msgs/Log
Topic: /vu_sss/waterfall_r | Type: sensor_msgs/Image
Topic: /vu_sss/waterfall_l | Type: sensor_msgs/Image
Topic: /uuv0/bb_home_dist | Type: std_msgs/Float32
Topic: /pipeline/marker | Type: visualization_msgs/Marker
Topic: /uuv0/target_waypoint | Type: geometry_msgs/Point
Topic: /vu_fls/bins_gt | Type: std_msgs/Float32MultiArray
Topic: /uuv0/pipeline_in_gt | Type: uuv_gazebo_ros_plugins_msgs/FloatStamped
Topic: /ground_truth_to_tf_uuv0/pose | Type: geometry_msgs/PoseStamped
Topic: /uuv0/obstacle_map | Type: nav_msgs/OccupancyGrid
Topic: /pipeline/plotmarker | Type: std_msgs/Float32MultiArray
Topic: /rosout | Type: rosgraph_msgs/Log
